b01,42,27,0
b03,157,43,0.01
b04,579,105,0.1
b05,516,134,0.11
b06,52,19,0
b07,372,79,0.05
b08,173,52,0.01
b09,151,35,0.01
b10,185,65,0.01
b11,453,113,0.07
b12,1032,399,0.74
b13,312,61,0.03
b14,4620,751,7.92
b15,6943,956,15.02
b17,23020,1434,93.45
b18,67045,1952,417.23
b19,137717,2486,1123.61
b20,9912,928,22.47
b21,10051,986,24.15
b22,14911,891,36.12
s1196,416,198,0.09
s1238,428,207,0.43
s13207,2639,171,0.98
s1488,457,143,0.09
s1494,457,150,0.1
s15850,3156,162,1.16
s27,23,8,0
s344,136,45,0.01
s349,135,41,0.01
s35932,7677,56,1.35
s382,132,48,0.01
s38417,9273,182,4.49
s38584,9664,303,8.39
s386,109,54,0
s400,130,46,0
s420,174,63,0.01
s444,130,43,0.01
s510,212,86,0.02
s526,158,60,0.01
s5378,1137,134,0.51
s641,176,48,0.02
s713,178,47,0.01
s820,229,123,0.03
s832,224,119,0.03
s838,344,118,0.05
s9234,947,156,0.26
s953,322,134,0.05
b18,67045,1952,398.84
b18,67045,1952,409.33
b18,67045,1952,380.44
s38584,9664,303,64.59
s38584,9664,303,174.03
s27,23,8,0
s27,23,8,0
s27,23,8,0
s27,23,8,0
s27,23,8,0
b17,23020,1434,0.1625
b17,23020,1434,0.16
s27,23,8,0
s38417,9273,182,0.379167
